iso3_o,iso3_d,contig,dist,comlang_off,tradeflow_comtrade_d
ABW,ABW,0,5.2249999,0,
ABW,AFG,0,13257.814,0,
ABW,AGO,0,9516.9131,0,
ABW,AIA,0,983.26801,0,
ABW,ALB,0,9091.7422,0,
ABW,AND,0,7572.7881,1,
ABW,ANT,,,,
ABW,ARE,0,12735.012,0,538.973
ABW,ARG,0,5396.2202,1,.052
ABW,ARM,0,11107.783,0,
ABW,ASM,,,,
ABW,ATA,,,,2.287
ABW,ATF,,,,
ABW,ATG,0,1024.995,0,
ABW,AUS,0,15237.495,0,
ABW,AUT,0,8719.1299,0,109.376
ABW,AZE,0,11502.997,0,
ABW,BDI,0,11120.469,0,
ABW,BEL,0,7847.0698,1,29.035
ABW,BEN,0,7979.9448,0,
ABW,BES,,,,
ABW,BFA,0,7414.0161,0,
ABW,BGD,0,15473.457,0,
ABW,BGR,0,9348.0391,0,1.957
ABW,BHR,0,12308.359,0,60.247
ABW,BHS,0,1588.515,0,
ABW,BIH,0,8936.6641,0,.89
ABW,BLR,0,9382.626,0,
ABW,BLZ,0,2076.2161,1,
ABW,BMU,0,2263.7871,0,.064
ABW,BOL,0,3240.231,1,.179
ABW,BRA,0,4759.6079,0,
ABW,BRB,0,1139.24,0,15.717
ABW,BRN,0,18008.871,0,
ABW,BTN,0,15070.868,0,
ABW,BVT,,,,
ABW,BWA,0,11196.276,0,
ABW,CAF,0,9771.96,0,
ABW,CAN,0,3573.887,0,22543.623
ABW,CCK,0,18614.289,0,
ABW,CHE,0,8056.332,0,396.994
ABW,CHL,0,5125.6802,1,2.203
ABW,CHN,0,14155.351,0,7.04
ABW,CIV,0,7293.8828,0,
ABW,CMR,0,9014.291,0,8.618
ABW,COD,0,9622.7695,0,
ABW,COG,0,9613.9014,0,
ABW,COK,0,10484.673,0,
ABW,COL,0,1036.634,1,3032.902
ABW,COM,0,12802.653,0,
ABW,CPV,0,5036.3862,0,
ABW,CRI,0,1550.772,1,.8130000000000001
ABW,CSK,,,,
ABW,CUB,0,1754.738,1,
ABW,CUW,,,,
ABW,CXR,0,19519.52,0,
ABW,CYM,0,1421.3781,0,
ABW,CYP,0,10403.22,0,62898.316
ABW,CZE,0,8560.8994,0,3.825
ABW,DDR,,,,
ABW,DEU,0,8034.3892,0,58.797
ABW,DJI,0,12186.874,0,
